book_id,language_id
923393979,487559
12,2260072
35,2260072
62,2260072
88,2260072
216,2260072
308,2260072
474,2260072
661,2260072
786,2260072
883,2260072
1305,2260072
2469,2260072
4116,2260072
5524,2260072
6432,2260072
7627,2260072
9099,2260072
12056,2260072
22224,2260072
36032,2260072
47861,2260072
61353,2260072
73365,2260072
90385,2260072
116011,2260072
240554,2260072
372098,2260072
544661,2260072
734725,2260072
846930,2260072
1036242,2260072
2786404,2260072
4164680,2260072
5224859,2260072
6625231,2260072
7982608,2260072
9157650,2260072
12665494,2260072
25825542,2260072
43420737,2260072
60581693,2260072
70080649,2260072
82254708,2260072
92106744,2260072
166125489,2260072
272891973,2260072
410264031,2260072
579176651,2260072
750934913,2260072
923552491,2260072
13,2640555
36,2640555
63,2640555
90,2640555
217,2640555
321,2640555
475,2640555
662,2640555
795,2640555
884,2640555
1333,2640555
2509,2640555
4125,2640555
5539,2640555
6438,2640555
7721,2640555
9203,2640555
12248,2640555
24079,2640555
37404,2640555
48867,2640555
62795,2640555
75064,2640555
91211,2640555
130754,2640555
245798,2640555
379874,2640555
550094,2640555
735310,2640555
853990,2640555
1081312,2640555
2825092,2640555
4170313,2640555
5257241,2640555
6767327,2640555
8012208,2640555
9297472,2640555
13952248,2640555
27042963,2640555
45362900,2640555
60644896,2640555
70201390,2640555
82346201,2640555
92910440,2640555
169834068,2640555
278226669,2640555
417177336,2640555
581330759,2640555
774089507,2640555
930014220,2640555
14,3872410
38,3872410
64,3872410
91,3872410
219,3872410
325,3872410
522,3872410
668,3872410
804,3872410
888,3872410
1340,3872410
2582,3872410
4152,3872410
5631,3872410
6488,3872410
7764,3872410
9228,3872410
14168,3872410
24719,3872410
37896,3872410
49162,3872410
62982,3872410
75601,3872410
91607,3872410
139575,3872410
260362,3872410
384487,3872410
555170,3872410
741844,3872410
854827,3872410
1107338,3872410
2825277,3872410
4181367,3872410
5269461,3872410
6844073,3872410
8104723,3872410
9353865,3872410
16336755,3872410
27080861,3872410
45671810,3872410
61544433,3872410
70354577,3872410
82865616,3872410
93225611,3872410
173461971,3872410
285823580,3872410
425890478,3872410
584953209,3872410
793650188,3872410
931006977,3872410
15,29848962
40,29848962
65,29848962
93,29848962
221,29848962
326,29848962
533,29848962
670,29848962
810,29848962
899,29848962
1396,29848962
2823,29848962
4235,29848962
5633,29848962
6502,29848962
7852,29848962
9244,29848962
15313,29848962
25038,29848962
39293,29848962
49508,29848962
63418,29848962
76289,29848962
91856,29848962
143623,29848962
261809,29848962
387551,29848962
555507,29848962
743763,29848962
861934,29848962
1137461,29848962
2943342,29848962
4243123,29848962
5345489,29848962
6862410,29848962
8110480,29848962
9399509,29848962
16519564,29848962
27948442,29848962
46000007,29848962
61853383,29848962
70741072,29848962
83111373,29848962
93729489,29848962
173928302,29848962
294370259,29848962
427239472,29848962
592358483,29848962
796145524,29848962
940535548,29848962
16,49198282
41,49198282
67,49198282
95,49198282
226,49198282
333,49198282
551,49198282
690,49198282
811,49198282
900,49198282
1434,49198282
2857,49198282
4335,49198282
5694,49198282
6578,49198282
7859,49198282
9346,49198282
15869,49198282
25332,49198282
39874,49198282
49586,49198282
63605,49198282
77073,49198282
91875,49198282
151919,49198282
263936,49198282
393388,49198282
556479,49198282
746904,49198282
872591,49198282
1301614,49198282
3068712,49198282
4285330,49198282
5387242,49198282
7043763,49198282
8173155,49198282
9442220,49198282
17132383,49198282
28050629,49198282
46647266,49198282
63391121,49198282
73309079,49198282
83293119,49198282
96133069,49198282
176159578,49198282
300042329,49198282
428728278,49198282
593230588,49198282
816290864,49198282
971498927,49198282
17,91779951
42,91779951
69,91779951
96,91779951
229,91779951
343,91779951
557,91779951
700,91779951
812,91779951
904,91779951
1618,91779951
3049,91779951
4489,91779951
5840,91779951
6602,91779951
7866,91779951
9367,91779951
17518,91779951
26158,91779951
40853,91779951
50124,91779951
63919,91779951
77138,91779951
92362,91779951
158620,91779951
274287,91779951
407551,91779951
557728,91779951
756405,91779951
873319,91779951
1321222,91779951
3103210,91779951
4346645,91779951
5388260,91779951
7091139,91779951
8185575,91779951
9495993,91779951
18754781,91779951
31262632,91779951
46759985,91779951
63652797,91779951
73531330,91779951
84512093,91779951
96640393,91779951
177569386,91779951
300581921,91779951
432231711,91779951
593269882,91779951
823131553,91779951
976447786,91779951
19,94146460
44,94146460
70,94146460
97,94146460
237,94146460
347,94146460
559,94146460
709,94146460
813,94146460
909,94146460
1629,94146460
3168,94146460
4494,94146460
5859,94146460
6618,94146460
8077,94146460
9369,94146460
17618,94146460
26617,94146460
41924,94146460
50461,94146460
64861,94146460
77721,94146460
92573,94146460
162239,94146460
275441,94146460
408912,94146460
600991,94146460
773080,94146460
876162,94146460
1363935,94146460
3116414,94146460
4396539,94146460
5471636,94146460
7244434,94146460
8363273,94146460
9513979,94146460
19420019,94146460
32693068,94146460
47823842,94146460
63734777,94146460
75168465,94146460
84635292,94146460
97368659,94146460
181803615,94146460
317531350,94146460
434649872,94146460
601564746,94146460
844431620,94146460
976745357,94146460
20,426577483
47,426577483
72,426577483
98,426577483
241,426577483
348,426577483
566,426577483
710,426577483
814,426577483
922,426577483
1640,426577483
3177,426577483
4536,426577483
5912,426577483
6638,426577483
8207,426577483
9455,426577483
18216,426577483
26742,426577483
42651,426577483
50624,426577483
65116,426577483
79714,426577483
93837,426577483
166608,426577483
278114,426577483
420425,426577483
607974,426577483
776479,426577483
877351,426577483
1451551,426577483
3234728,426577483
4468685,426577483
5516577,426577483
7250798,426577483
8512104,426577483
9558662,426577483
19834723,426577483
34091366,426577483
49843316,426577483
64702480,426577483
75502668,426577483
84875737,426577483
98127005,426577483
188525149,426577483
324248559,426577483
448377298,426577483
612934993,426577483
853473180,426577483
988162891,426577483
22,708358373
48,708358373
73,708358373
99,708358373
247,708358373
350,708358373
584,708358373
719,708358373
815,708358373
927,708358373
1652,708358373
3270,708358373
4637,708358373
5956,708358373
6639,708358373
8218,708358373
9518,708358373
18562,708358373
27084,708358373
43532,708358373
52088,708358373
66013,708358373
79831,708358373
94218,708358373
175427,708358373
289264,708358373
425004,708358373
608185,708358373
790416,708358373
884454,708358373
1468736,708358373
3265728,708358373
4489334,708358373
5637693,708358373
7316321,708358373
8594430,708358373
9590746,708358373
19855216,708358373
34529304,708358373
50040982,708358373
65294204,708358373
75519722,708358373
86392437,708358373
98645686,708358373
189318457,708358373
338472675,708358373
453406702,708358373
613711349,708358373
857707790,708358373
998454808,708358373
