copy_id,cardholder_id,checked_out,checked_in
173532761,5880,2023-12-06 12:14:43,2020-03-20 02:40:54
173653873,6656,1997-12-21 07:56:07,0000-00-00 00:00:00
182763510,8657,1994-03-22 12:35:46,1970-03-29 14:39:17
185131679,8951,1990-09-22 06:11:51,0000-00-00 00:00:00
187139118,9615,2011-11-14 16:02:26,1977-02-04 05:29:28
188215230,19137,2005-12-30 02:15:59,1972-11-11 13:23:42
189477376,24718,2013-02-19 13:56:51,1979-01-17 10:41:57
200946218,36517,2005-06-25 20:23:34,0000-00-00 00:00:00
209510552,58854,1982-06-08 00:20:43,1991-12-29 21:24:31
210317366,59105,2014-08-24 16:11:01,0000-00-00 00:00:00
212374353,59326,2001-04-28 07:36:08,0000-00-00 00:00:00
213380617,59498,1978-09-19 08:33:09,0000-00-00 00:00:00
214854858,80139,1990-07-01 19:31:05,0000-00-00 00:00:00
215299437,81449,2015-02-05 01:24:42,1995-09-15 20:14:18
215759978,86004,2000-11-19 04:14:58,1994-08-03 01:15:02
217406126,92878,1993-10-05 03:23:57,0000-00-00 00:00:00
219207662,151591,1988-06-07 06:42:22,0000-00-00 00:00:00
222247835,159983,1996-04-11 23:11:51,0000-00-00 00:00:00
223028803,169589,1972-05-24 00:12:58,1986-01-02 11:00:51
224814025,286314,2001-12-23 19:33:50,1975-06-06 19:55:31
225058063,353211,2014-02-25 03:11:21,0000-00-00 00:00:00
225996027,361737,1975-01-20 14:42:51,1976-09-12 13:56:41
243120521,390116,2001-11-10 12:35:14,1971-07-25 03:36:31
250514397,438367,2010-01-09 00:25:17,1972-02-21 16:50:24
250949395,636236,2003-06-08 02:00:15,0000-00-00 00:00:00
261178214,784031,1975-07-08 06:19:12,0000-00-00 00:00:00
261845451,840451,1994-01-06 23:21:23,0000-00-00 00:00:00
263185242,844435,2014-02-12 13:42:12,2014-08-28 10:34:41
266158610,861539,1982-01-12 16:53:41,2011-10-04 02:18:01
267666016,923007,1985-05-29 10:15:44,0000-00-00 00:00:00
268058365,1742669,1970-05-04 03:02:26,0000-00-00 00:00:00
271448528,1949022,2010-10-25 05:09:06,2002-02-23 06:08:29
272877004,2531724,1995-06-01 14:54:59,0000-00-00 00:00:00
275561945,2794921,2014-05-11 23:34:58,2019-04-06 22:30:02
277601163,4057851,1980-08-08 03:34:40,2021-06-30 08:13:19
282270936,6193100,2022-04-30 22:21:08,1999-01-22 14:41:44
288805752,7909586,2013-06-18 09:58:07,2002-03-05 13:43:22
293871264,8866565,2020-09-17 06:26:53,0000-00-00 00:00:00
302916436,9298988,2011-04-05 20:01:39,0000-00-00 00:00:00
304130148,11530271,1992-07-17 02:23:46,2008-06-11 07:44:43
306029733,30462902,1996-09-20 05:41:54,2018-07-03 16:54:55
323457269,40206570,2000-04-19 13:11:42,2021-08-23 11:23:52
353988683,45942970,2024-01-09 18:33:09,0000-00-00 00:00:00
355317447,48093980,2020-11-16 19:18:03,1975-12-14 18:26:32
356249853,49148264,1989-03-18 11:30:43,0000-00-00 00:00:00
358493315,61311235,1983-09-15 06:44:24,1992-11-18 23:08:49
362730010,74537650,1976-05-15 15:04:33,0000-00-00 00:00:00
367177875,80819603,1982-01-09 22:03:14,1994-04-20 19:03:33
370128243,81760151,2022-10-24 10:48:18,0000-00-00 00:00:00
376083014,122029347,2007-11-09 09:42:57,0000-00-00 00:00:00
377815121,220388911,1994-01-25 12:13:35,1985-08-23 10:16:23
379445435,357669230,1996-02-07 11:14:26,1973-01-29 16:41:35
380088455,393287139,1978-03-16 16:56:16,0000-00-00 00:00:00
383629123,403540314,1986-12-17 02:23:41,2005-11-05 04:37:04
392207951,409097898,1979-07-20 11:20:34,0000-00-00 00:00:00
394058433,434811512,1990-04-29 08:07:28,2020-01-06 14:39:58
400688836,590989014,1974-01-06 01:38:35,2009-06-02 17:45:33
404669937,599309317,1983-11-14 20:07:51,1973-08-07 18:07:42
405327048,621676189,1972-02-10 03:25:14,2018-09-30 16:36:31
406038954,628632641,1990-12-28 09:49:01,0000-00-00 00:00:00
406586535,770059794,1987-10-05 11:26:11,0000-00-00 00:00:00
408593656,901039432,1978-02-21 18:01:54,1994-11-24 17:46:43
409037319,931064960,2002-09-08 03:26:42,0000-00-00 00:00:00
416594778,972884164,2015-03-20 18:21:22,1996-10-09 10:44:09
416825260,989629417,1988-10-29 18:17:57,2020-03-17 05:51:00
