cid,book_id,branch_id
887718377,9367,28410
891020171,25038,96
891069187,112089,8981887
894001654,162084922,8981887
905096593,9639,78
909306785,56,28410
909931361,8600621,11
910315514,241,7253076
912422496,4059856,8981887
916860560,1533131,11
922275899,237,53172
927918874,226,12617
928051007,3505102,89
944307776,229,28410
945287385,5471636,53172
948932057,151919,12617
964209212,917830,96
966068081,26,89
969596715,61353,65
971412775,7043,78
974360721,3978,28410
974775721,5161,53172
976869174,495464248,78
992434907,1629,53172
994807629,325,89
1005671822,6654,11
1011403000,474,65
1016420688,201,8981887
1020948557,21863159,28410
1027576398,956,78
1028698729,4125,78
1031957659,294370259,96
1038263723,4736521,78
1039371196,62,65
1050380689,94218,8981887
1053280956,8594430,8981887
1055172503,4083561,11
1056533524,7824533,96
1059992739,3265728,8981887
1070260233,719,8981887
1073226681,77138,28410
1074428158,638862451,78
1087184500,295206,65
1087603871,61,11
1088980794,9964230,28410
1089243465,693535366,28410
1089267048,6044,89
1092644944,60581693,65
1097786772,984298,11
1100149293,70080649,65
1106005971,600991,53172
1115724537,613711349,8981887
1116413268,21522653,12617
1118023890,385068325,7253076
1121154794,27084,8981887
1121240529,3168,53172
1121288450,82254708,65
1131074855,843152,11
1147068321,980649,8981887
1149161981,723,89
1151450532,516832567,96
1157191280,20038,96
1158913689,9990745,7253076
1167005718,971498927,12617
1169889331,51,78
1170415088,76,78
1172626841,904,28410
1172824863,63919,28410
1176646559,18216,7253076
1178798536,278226669,78
1182142044,23,11
1182795656,63652797,28410
1183018843,28,12617
1186435408,20406,12617
1186818547,19834723,7253076
1191079099,260362,89
1198620983,868,28410
1204264790,46561,7253076
1204336991,290806,11
1207941403,4489,28410
1214504163,181803615,53172
1221007233,2387978,7253076
1222458751,5859,53172
1231090934,408912,53172
1231314158,93837,7253076
1231431079,793650188,89
1241624950,734725,65
1250472782,96,28410
1255320131,998454808,8981887
1256511159,3313,11
1269194174,41,12617
1271964611,829,11
1272678969,50,65
1274312899,197560408,78
1276897000,240554,65
1286127270,7043763,12617
1292393393,68938846,53172
1297898737,629580736,65
1298001658,163,96
1300870801,48,8981887
1302413588,247,8981887
1305641338,24719,89
1311730935,24779834,8981887
1321444142,41600790,7253076
1327417417,49586,12617
1331185999,8667,96
1341470022,533,96
1345483492,4010,53172
1346502505,810,96
1350846352,71128,8981887
1361539595,7961128,8981887
1366543411,7883490,53172
1368484746,5136,28410
1368682854,305,8981887
1375930191,356,65
1380356461,625,28410
1381272690,388,89
1383374038,14,89
1394728131,67278912,96
1409191270,65,96
1410695584,338472675,8981887
1412936277,302208,89
1414697424,18562,8981887
1419961284,8104723,89
1424769539,31262632,28410
1427073772,229468,53172
1433328846,3506396,96
1435267604,6625231,65
1435683975,9099,65
1441357172,221441617,12617
1443745330,6,28410
1446069487,5269461,89
1449843593,35406,8981887
1456441824,52,89
1465922529,5637693,8981887
1472732741,959383,7253076
1473013456,66013,8981887
1484750600,846,96
1489652401,5123116,28410
1491201466,75502668,7253076
1496376360,70354577,89
1506467477,212022,96
1509066971,25,78
1514300652,23037377,53172
1517246607,884,78
1518268449,5193926,8981887
1520536146,196289410,65
1521972486,55,12617
1522245401,9681,96
1522992833,4000015,53172
1524790893,9590746,8981887
1534071746,19372,78
1534880083,662,78
1541142224,86460883,11
1541744707,27147,11
1541795960,1878,89
1542530470,876162,53172
1544360410,8563,89
1547476054,354679394,65
1554618672,80771448,7253076
1554987143,6032,78
1559002844,45911,12617
1560803909,746904,12617
1561680487,138,89
1568634851,88903,8981887
1570113193,428728278,12617
1570684757,407551,28410
1571971484,35,65
1573951395,372098,65
1577739662,824470,8981887
1578871273,1363935,53172
1583976181,6068420,96
1594456916,457526,65
1600724241,153695384,53172
1609723198,9,8981887
1615574609,15313,96
1617110063,6605456,11
1621619571,92573,53172
1621905960,338325,28410
1623672840,69,28410
1623787158,748,53172
1624543542,5956,8981887
1637704626,2318,8981887
1640762930,1468736,8981887
1642197718,46084,28410
1643888623,6225434,28410
1647251108,74,11
1654300016,8334,65
1658231687,4468685,7253076
1658843821,900460023,12617
1665567180,2509,78
1671924286,90254161,8981887
1681686802,68995,89
1693679624,434,12617
1695269032,83,53172
1697589094,9455,7253076
1712849843,6438,78
1714080339,953432,53172
1718497697,149874432,12617
1728742522,7627,65
1739457275,5104,96
1741054740,14168,89
1752003744,813,53172
1752686500,92910440,78
1755717913,7037,65
1756640010,59457558,53172
1757484081,5210967,11
1763122328,2825277,89
1764799692,13952248,78
1767528102,9157650,65
1768185380,9770,12617
1773826428,87575353,12617
1785083278,9228,89
1786292821,605,89
1786389248,8246,11
1802934422,296,53172
1808716528,93,96
1809245496,8896172,12617
1811101656,821034,7253076
1815129706,613,12617
1842157554,272891973,65
1844639250,996,8981887
1849710223,82433,78
1858280725,143623,96
1869267984,9886718,12617
1877409906,6638,7253076
1880300159,32787,12617
1883601666,261809,96
1889732834,1586912,78
1890790843,66417739,65
1900744161,4346645,28410
1907565145,659546620,96
1908744516,668,89
1910808640,69326640,8981887
1913634368,823131553,28410
1914378769,86783890,65
1918723417,434649872,53172
1919120134,2823,96
1923348493,96640393,28410
1924647832,6201786,12617
1926438301,3270,8981887
1927259925,17518,28410
1927363899,3,89
1927854842,832,78
1930220748,81388869,11
1930516853,6273141,53172
1937640173,269,89
1938672410,6844073,89
1941538838,49162,89
1956679713,40853,28410
1957303806,8887,7253076
1966531875,9369,53172
1967147241,364,78
1972825360,4830,65
1975609937,1640,7253076
1980095848,95155,65
1983512345,425004,8981887
1989879117,177569386,28410
1992549537,1863,78
1995817569,4700720,65
1997859229,22224,65
2005463023,741030225,7253076
2006637200,403025714,8981887
2007629076,81271,65
2008160693,91211,78
2009845517,5178015,7253076
2012200544,45537,89
2013585587,328383,96
2014864408,9558662,7253076
2015373162,776479,7253076
2028085759,81232723,8981887
2033981298,155921615,7253076
2036340607,188525149,7253076
2049502987,19,53172
2049842048,60644896,78
2052283197,119,11
2053292029,5257241,78
2054281625,6488,89
2054579336,96133069,12617
2058484016,854827,89
2060286844,3103210,28410
2063674199,571430563,8981887
2063859375,59550986,8981887
2064737881,3444636,78
2078334002,670,96
2078764386,76922365,78
2083348920,24079,78
2086313316,121,65
2090501015,306,11
2092054568,721,65
2094086002,16519564,96
2094827932,7721,78
2097683980,7092,89
2102624683,4810529,89
2111117738,3603165,12617
2114591737,59536051,7253076
2120027931,87911274,28410
2124036179,90,78
2128319292,9203,78
2130065523,10441,7253076
2139652174,5084,89
2147483647,4,96
